FiberLength										
version=1										
nRows=4903										
nColumns=7										
inDegrees=no										
										
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."										
"Units are S.I. units (second, meters, Newtons, ...)"										
Angles are in degrees.										
										
endheader										
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r		Vastus Intermedius Optimal Fiber Length		
0	0.13781037	0.1447845	0.15504218	0.16060191	0.13001036	0.11050175	13	0.12617328		
0.00461134	0.13797421	0.14485885	0.15511402	0.16030724	0.13008443	0.11070312	14	0.12617328		
0.01098608	0.13817687	0.14497901	0.155195	0.15986856	0.1302031	0.11099063	15	0.12617328		
0.01362775	0.13825441	0.1450352	0.15522326	0.15967617	0.13025806	0.11111234	16	0.12617328		
0.01741763	0.13836045	0.14512277	0.15524564	0.15938938	0.13034319	0.11128891	17	0.12617328		
0.02196392	0.13848222	0.1452392	0.15525071	0.15902866	0.13045544	0.11150305	18	0.12617328		
0.02384154	0.13853169	0.14529108	0.15524809	0.1588744	0.13050513	0.111592	19	0.12617328		
0.02862915	0.13865865	0.14543383	0.15522906	0.15846718	0.13064096	0.11181957	20	0.12617328		
0.03088885	0.13870626	0.14550663	0.15521392	0.15826807	0.13070974	0.11192713	21	0.12617328		
0.03405674	0.13874112	0.1456147	0.15518608	0.15798151	0.13081132	0.1120778	22	0.12617328		
0.03565288	0.13875495	0.1456719	0.15516914	0.15783386	0.13086482	0.11215359	23	0.12617328		
0.03923502	0.13877713	0.14580712	0.15512401	0.15749458	0.13099067	0.11232314	24	0.12617328		
0.04019661	0.13878103	0.14584506	0.15511023	0.15740163	0.13102582	0.11236849	25	0.12617328		
0.04284419	0.13878751	0.14595318	0.15506862	0.15714167	0.13112564	0.11249292	26	0.12617328	0.2588879	1048
0.04382193	0.13878835	0.14599448	0.15505191	0.15704416	0.13116364	0.11253869	27	0.12617328		
0.04526093	0.13878822	0.14605664	0.15502599	0.1568992	0.13122069	0.11260584	28	0.12617328		
0.04704013	0.13878552	0.14613576	0.15499175	0.15671754	0.13129308	0.11268851	29	0.12617328		
0.04805316	0.13878281	0.14618193	0.15497119	0.15661291	0.13133522	0.11273538	30	0.12617328		
0.0506925	0.13877217	0.14630617	0.15491393	0.15633631	0.13144818	0.1128568	31	0.12617328		
0.05175737	0.13876636	0.14635791	0.15488933	0.15622307	0.13149505	0.11290547	32	0.12617328		
0.05282223	0.13875947	0.14641058	0.15486387	0.15610887	0.13154269	0.11295395	33	0.12617328		
0.0532528	0.1387565	0.14643214	0.15485333	0.15606244	0.13156217	0.1129735	34	0.12617328		
0.05476874	0.13874525	0.14650931	0.15481511	0.15589772	0.13163168	0.11304205	35	0.12617328		
0.05586577	0.13873582	0.14656635	0.15478635	0.15577733	0.13168297	0.1130914	36	0.12617328		
0.05733287	0.13872193	0.14664422	0.15474647	0.15561478	0.1317528	0.11315703	37	0.12617328		
0.0583195	0.13871185	0.14669763	0.15471873	0.15550447	0.13180057	0.11320092	38	0.12617328		
0.05952754	0.13869848	0.14676415	0.15468375	0.15536832	0.13185995	0.1132544	39	0.12617328		
0.06134948	0.13867683	0.14686687	0.1546289	0.15516076	0.13195136	0.11333445	40	0.12617328		
0.06191873	0.13866931	0.14689953	0.15461125	0.15509533	0.13198038	0.11335932	41	0.12617328		
