FiberVelocity						
version=1						
nRows=4903						
nColumns=7						
inDegrees=no						
						
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."						
"Units are S.I. units (second, meters, Newtons, ...)"						
Angles are in degrees.						
						
endheader						
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r
0	0.02753424	0.01643695	0.01133738	-0.06303542	0.01600518	0.04372272
0.00461134	0.02270265	0.01861469	0.00780004	-0.06711469	0.01805621	0.04490017
0.01098608	0.01640161	0.02192495	0.00295083	-0.07276467	0.02102162	0.04622437
0.01362775	0.01389664	0.02338482	0.0009504	-0.07509048	0.02233129	0.04662839
0.01741763	0.01042717	0.02557715	-0.00190889	-0.07841612	0.02427297	0.04708421
0.02196392	0.00645119	0.02835264	-0.00532484	-0.08237972	0.02670909	0.04743041
0.02384154	0.00486787	0.02954385	-0.0067315	-0.08401071	0.0277472	0.04751377
0.02862915	0.00098942	0.03269883	-0.01030877	-0.08814791	0.03046953	0.04757268
0.03088885	-0.00076597	0.03424192	-0.01199318	-0.09009476	0.03179003	0.04752773
0.03405674	-0.00313734	0.03647283	-0.01435104	-0.09280389	0.03367469	0.04738963
0.03565288	-0.00430245	0.03761951	-0.01553773	-0.09416506	0.03464642	0.04728796
0.03923502	-0.00683772	0.04024755	-0.01819864	-0.09721787	0.03684453	0.0469853
0.04019661	-0.00749861	0.04096844	-0.01891256	-0.09803181	0.03744536	0.04688717
0.04284419	-0.0092778	0.04298237	-0.02087766	-0.10026586	0.03911245	0.04658126
0.04382193	-0.00991966	0.04373625	-0.02160316	-0.10108887	0.03972964	0.04645528
0.04526093	-0.01085848	0.04485011	-0.02267104	-0.10230309	0.04065038	0.04625792
0.04704013	-0.01198643	0.0462521	-0.02399144	-0.1037905	0.04179197	0.04599426
0.04805316	-0.01261596	0.04705991	-0.02474345	-0.1046337	0.04244497	0.04583489
0.0506925	-0.01423662	0.04917425	-0.02670272	-0.10683479	0.0441628	0.04538762
0.05175737	-0.01487657	0.05003874	-0.02749406	-0.10772022	0.0448637	0.04519572
0.05282223	-0.01549331	0.05091576	-0.02828508	-0.10859749	0.04553934	0.0449961
0.0532528	-0.0157441	0.05126989	-0.02860503	-0.10895287	0.04581916	0.04491351
0.05476874	-0.01663642	0.0525136	-0.02973231	-0.11020861	0.0468407	0.04461487
0.05586577	-0.01725545	0.05342917	-0.03054813	-0.11110733	0.04755435	0.04439001
0.05733287	-0.01807434	0.05466329	-0.03164053	-0.1123055	0.04852593	0.04408005
0.0583195	-0.01862449	0.05549023	-0.032375	-0.11311457	0.04918022	0.04386423
0.05952754	-0.01928121	0.05651541	-0.03327504	-0.11409652	0.04997743	0.0435934
0.06134948	-0.02027954	0.05805318	-0.03463424	-0.11559425	0.05119576	0.04317173
0.06191873	-0.0205656	0.05855402	-0.03505857	-0.11603816	0.0515707	0.04303584
0.06256777	-0.02089165	0.05912473	-0.03554306	-0.11654839	0.05199594	0.04287959
0.06432376	-0.02182912	0.06062098	-0.03685543	-0.11798402	0.05317908	0.04244755
0.0648186	-0.0220764	0.06105337	-0.03722522	-0.11837786	0.05349772	0.04232283
0.06676736	-0.02307682	0.06275228	-0.03868426	-0.11992877	0.05485355	0.04182295
0.06871612	-0.02401422	0.06446496	-0.04014472	-0.12148644	0.0560516	0.04130568
0.06887741	-0.02410319	0.06460728	-0.04026578	-0.1216084	0.05620019	0.04126232
0.06909305	-0.0242172	0.06479766	-0.04042763	-0.12177378	0.05637995	0.04120412
0.06973657	-0.02451589	0.06536634	-0.04091071	-0.12228872	0.05675334	0.04102901
0.07063389	-0.02497972	0.0661413	-0.04158403	-0.12300684	0.05739928	0.04078151
0.07187711	-0.02552565	0.06727808	-0.04251943	-0.12395533	0.05817356	0.04043512
0.07200143	-0.02558819	0.06738652	-0.04261277	-0.1240531	0.0582634	0.04039989
0.07250372	-0.02585347	0.06781345	-0.0429896	-0.12445798	0.05863309	0.04025655
0.07363311	-0.02638249	0.06881382	-0.04384057	-0.12535279	0.05934917	0.03993407
0.07406746	-0.02658942	0.06919839	-0.04416743	-0.12569102	0.05964602	0.03980817
0.07502308	-0.02703214	0.07005364	-0.04488784	-0.12643001	0.06028705	0.0395296
0.07588632	-0.02741187	0.07083924	-0.04553895	-0.12708338	0.06084914	0.03927508
0.07674957	-0.02782329	0.07159676	-0.04619047	-0.12776512	0.06142513	0.03901789
0.07713926	-0.02799088	0.07195689	-0.04648503	-0.12805294	0.06169039	0.03890122
0.07836862	-0.02855995	0.07303603	-0.04741429	-0.12902745	0.06245841	0.03852925
0.07851537	-0.0286105	0.07318688	-0.04752566	-0.12911825	0.06257301	0.03848484
0.07879512	-0.02871146	0.07346823	-0.04773754	-0.12929647	0.06278739	0.03839962
0.07971494	-0.0291497	0.07425584	-0.0484325	-0.13004052	0.06334884	0.03811584
0.08042168	-0.02943818	0.07491959	-0.0489685	-0.1305478	0.06383114	0.03789739
0.08110237	-0.02975132	0.07551884	-0.04948423	-0.13107814	0.06427569	0.03768483
0.08178306	-0.03003332	0.07614103	-0.05000054	-0.13158503	0.06469688	0.03747113
0.08216424	-0.03021636	0.076469	-0.05028987	-0.13189011	0.06494652	0.03735087
0.08273587	-0.03045305	0.07699873	-0.05072396	-0.1323035	0.06533459	0.03716977
0.08334023	-0.03070362	0.07755042	-0.05118331	-0.13275236	0.0657129	0.03697742
0.08394459	-0.03097774	0.07808107	-0.05164203	-0.13321845	0.06610474	0.03678336
0.08427337	-0.03110696	0.07838879	-0.05189223	-0.13345274	0.06631752	0.03667778
0.08465283	-0.03126387	0.07873595	-0.0521812	-0.13373237	0.06656024	0.03655563
0.08547125	-0.03161245	0.07947353	-0.05280338	-0.13433933	0.06709137	0.03628979
0.08628967	-0.03195088	0.08021461	-0.05342658	-0.13494439	0.06759944	0.03602263
0.08710809	-0.03229276	0.08095617	-0.05405132	-0.13554964	0.06812159	0.03575441
0.08817022	-0.0327275	0.08191844	-0.05485958	-0.13631826	0.06879611	0.03540167
0.08838932	-0.03282558	0.082112	-0.0550274	-0.13648548	0.06894138	0.03532922
0.08878512	-0.03298968	0.08247206	-0.0553312	-0.13677849	0.06919363	0.03519838
0.0893777	-0.03321345	0.08301768	-0.05578198	-0.13719219	0.06954737	0.03499902
0.08983409	-0.03341368	0.08342005	-0.05613078	-0.13753421	0.06984483	0.03484587
0.09037833	-0.03362192	0.08392444	-0.0565479	-0.13791872	0.0701795	0.03466319
0.09092257	-0.03385473	0.08440417	-0.05696363	-0.13832239	0.0705205	0.03447885
0.09133964	-0.03402491	0.08478198	-0.05728414	-0.13862684	0.07078146	0.0343382
0.09172861	-0.03416357	0.08514501	-0.05758093	-0.13888979	0.07100964	0.03420534
0.09225909	-0.03436649	0.08563747	-0.05798655	-0.13925084	0.07136037	0.034024
0.09278956	-0.03460569	0.08608684	-0.0583932	-0.13966403	0.07166818	0.03384259
0.09319692	-0.03475934	0.08646455	-0.05870537	-0.139942	0.07192806	0.03370273
0.09358145	-0.03490023	0.08682339	-0.05900052	-0.14020282	0.07216601	0.03357058
0.09408269	-0.03510217	0.08726981	-0.05938425	-0.1405611	0.07246808	0.03339721
0.09458392	-0.03529023	0.08773096	-0.05977097	-0.14091331	0.07276053	0.0332249
0.09520956	-0.03554496	0.08829285	-0.06024684	-0.14133532	0.07319804	0.03300522
0.09570602	-0.03573324	0.08872959	-0.06063336	-0.14171858	0.07339721	0.03283512
0.09579988	-0.03578898	0.08879801	-0.06070334	-0.14179285	0.07347501	0.03280119
0.09597618	-0.03587819	0.0889485	-0.06083487	-0.14190725	0.07365213	0.03273747
0.09657241	-0.03605066	0.08953127	-0.06129715	-0.14228877	0.07394798	0.03253103
